Stamp, PlayerId, Health, Location.X, Location.Y, Location.Z, Rotation.Pitch, Rotation.Yaw, Rotation.Roll, Velocity.X, Velocity.Y, Velocity.Z
3640, 0, 10, -1772, -554, 2364, 4, -79, -0, 60, -928, 50
3640, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3660, 0, 10, -1772, -720, 2374, 2, -78, 0, -275, -0, 0
3660, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3680, 0, 10, -1777, -863, 2374, 1, -48, -0, -10, -363, 3
3680, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3700, 0, 10, -1819, -1077, 2376, -8, -50, 0, -219, -404, 2
3700, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3720, 0, 10, -1932, -1218, 2262, -79, -126, 0, -72, -103, -720
3720, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3740, 0, 10, -1969, -1277, 1923, -63, -103, -0, -75, -154, -599
3740, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3760, 0, 10, -1963, -1397, 1728, -3, -29, 0, 138, -277, 18
3760, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3780, 0, 10, -1876, -1520, 1728, 17, -44, 0, 148, -261, -5
3780, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3800, 0, 10, -1825, -1564, 1727, 14, 35, -0, 0, 46, -4
3800, 1, 10, 3724, -1400, 507, 0, -180, 0, -31, -0, 0
3820, 0, 10, -1873, -1454, 1770, 20, 67, -0, -110, 319, 142
3820, 1, 10, 3577, -1372, 525, 35, 143, -0, -412, 165, 115
3840, 0, 10, -1783, -1346, 1808, -3, 13, 0, 403, 211, 44
3840, 1, 10, 3387, -1240, 755, 56, 138, -0, -373, 336, 750
3860, 0, 10, -1652, -1198, 1820, -6, 15, -0, 2, 367, 26
3860, 1, 10, 3189, -1070, 1122, 50, 143, 0, -421, 341, 700
3880, 0, 10, -1644, -973, 1825, -2, 31, 0, 78, 455, -4
3880, 1, 10, 2981, -926, 1391, 17, 160, -0, -474, 260, 413
3900, 0, 10, -1595, -747, 1820, -4, 30, 0, 115, 447, -16
3900, 1, 10, 2720, -799, 1550, 13, 157, 0, -550, 253, 249
3920, 0, 10, -1585, -520, 1817, -9, -7, 0, -93, 448, 12
3920, 1, 10, 2441, -674, 1653, 11, 157, -0, -561, 248, 176
3940, 0, 10, -1640, -298, 1826, -9, -7, 0, -38, 460, 11
3940, 1, 10, 2157, -555, 1719, 7, 156, 0, -569, 232, 98
3960, 0, 10, -1616, -74, 1828, -2, -4, 0, 183, 347, -5
3960, 1, 10, 1850, -529, 1760, 4, -177, 0, -615, 9, 64
3980, 0, 10, -1473, -65, 1824, -1, -9, 0, 360, -209, -8
3980, 1, 10, 1449, -572, 1795, 7, 179, 0, -705, -205, 63
4000, 0, 10, -1416, -118, 1823, -1, -15, 0, 100, 72, -2
