X,Y,Z
2179.00,2408.00,-22.00
3788.00,1310.00,5.00
5974.00,-313.00,-426.00
5625.00,675.00,-475.00
-4566.00,-1662.00,-387.00
-3754.00,-2601.00,-299.00
-893.00,-531.00,229.00
-326.00,-168.00,342.00
-852.00,-752.00,187.00
-896.00,-321.00,129.00
-845.00,-1838.00,-71.00
1018.00,78.00,701.00
124.00,160.00,693.00
378.00,166.00,225.00
-169.00,705.00,720.00
-4070.00,363.00,182.00
-1747.00,18.00,225.00
3091.00,1567.00,-74.00
2099.00,3498.00,-71.00
-850.00,4182.00,125.00
-480.00,1988.00,560.00
-1102.00,1199.00,690.00
-852.00,1247.00,698.00
-705.00,791.00,623.00
-1844.00,1948.00,918.00
-1910.00,2407.00,829.00
-3744.00,3526.00,350.00
413.00,2844.00,912.00
61.00,3161.00,793.00
335.00,3112.00,515.00
1305.00,2407.00,68.00
2211.00,3675.00,-75.00
1498.00,2209.00,57.00
871.00,2496.00,135.00
1512.00,2142.00,284.00
1041.00,2701.00,9.00
-514.00,3289.00,283.00
1177.00,2317.00,66.00
1828.00,958.00,225.00
2016.00,1347.00,540.00
1123.00,1004.00,761.00
2036.00,1034.00,544.00
-1171.00,3387.00,346.00
-521.00,426.00,639.00
-123.00,159.00,772.00
-1867.00,-1989.00,160.00
-570.00,-1960.00,469.00
927.00,246.00,310.00
-1233.00,-1414.00,293.00
-646.00,-370.00,220.00
415.00,-3.00,277.00
659.00,189.00,270.00
-4325.00,298.00,127.00
-4608.00,581.00,159.00
-594.00,-420.00,125.00
737.00,684.00,150.00
-904.00,-1290.00,220.00
-1423.00,-75.00,323.00
-1835.00,-204.00,325.00
-2352.00,-413.00,131.00
-1330.00,93.00,554.00
2649.00,541.00,128.00
461.00,613.00,142.00
1153.00,69.00,161.00
1041.00,-88.00,469.00
-1581.00,-2468.00,350.00
1608.00,6.00,484.00
1354.00,-90.00,127.00
-271.00,572.00,228.00
625.00,-13.00,749.00
730.00,2406.00,249.00
2063.00,1507.00,126.00
1134.00,2507.00,220.00
-633.00,3297.00,154.00
3176.00,587.00,97.00
900.00,1431.00,975.00
-748.00,1202.00,610.00
-797.00,3109.00,1146.00
499.00,2236.00,760.00
-6033.00,-488.00,127.00
-369.00,464.00,154.00
274.00,697.00,331.00
-864.00,1830.00,301.00
-482.00,1252.00,461.00
-833.00,2285.00,1712.00
-2705.00,460.00,231.00
3053.00,2070.00,-26.00
3313.00,708.00,51.00
-3144.00,-1036.00,-102.00
-4224.00,2325.00,471.00
-5346.00,315.00,301.00
-4686.00,2908.00,220.00
-4363.00,2823.00,257.00
-5030.00,2289.00,215.00
-5082.00,1315.00,466.00
15.00,569.00,735.00
874.00,139.00,218.00
-193.00,-149.00,643.00
157.00,-238.00,676.00
132.00,-220.00,567.00
-3309.00,764.00,183.00
-528.00,415.00,529.00
-494.00,1863.00,169.00
5859.00,1657.00,-69.00
4916.00,2373.00,341.00
4318.00,1671.00,137.00
-2063.00,-1903.00,192.00
-2664.00,-1874.00,368.00
-2145.00,-2055.00,214.00
-673.00,-399.00,272.00
-184.00,-374.00,252.00
1274.00,384.00,129.00
-1424.00,-2267.00,142.00
1866.00,1358.00,140.00
-526.00,-920.00,288.00
-680.00,-1122.00,187.00
-704.00,952.00,581.00
-250.00,3212.00,1093.00
-731.00,3446.00,300.00
-3100.00,493.00,144.00
-1118.00,-340.00,483.00
38.00,464.00,398.00
239.00,-248.00,622.00
952.00,282.00,303.00
-568.00,1285.00,249.00
1972.00,86.00,241.00
406.00,2218.00,392.00
-7271.00,600.00,250.00
-490.00,703.00,426.00
1447.00,27.00,421.00
687.00,2450.00,173.00
1075.00,2559.00,45.00
-348.00,1401.00,501.00
-20.00,1951.00,314.00
-381.00,1326.00,787.00
-1023.00,1944.00,112.00
-772.00,511.00,732.00
-661.00,842.00,624.00
-1055.00,1459.00,575.00
-678.00,1144.00,562.00
-748.00,865.00,607.00
-694.00,1166.00,572.00
-718.00,642.00,483.00
35.00,542.00,485.00
-532.00,-368.00,335.00
-581.00,-421.00,259.00
-118.00,1360.00,451.00
-1242.00,1776.00,1136.00
-733.00,755.00,463.00
-168.00,2093.00,1467.00
546.00,2446.00,-48.00
744.00,2608.00,234.00
3053.00,-297.00,366.00
-3951.00,2268.00,464.00
-4051.00,2000.00,352.00
3318.00,626.00,239.00
2385.00,-471.00,356.00
3167.00,703.00,461.00
3026.00,-69.00,320.00
195.00,492.00,800.00
-510.00,1379.00,562.00
653.00,-179.00,829.00
-3564.00,174.00,204.00
-418.00,1367.00,444.00
-1327.00,1156.00,176.00
634.00,2556.00,410.00
-603.00,1070.00,278.00
561.00,1223.00,192.00
2784.00,1623.00,413.00
-3887.00,955.00,139.00
2846.00,783.00,343.00
2915.00,842.00,260.00
560.00,3.00,785.00
-429.00,1082.00,473.00
100.00,434.00,355.00
-34.00,-1376.00,441.00
-4367.00,914.00,268.00
2356.00,3460.00,928.00
2335.00,3175.00,961.00
1147.00,2769.00,739.00
1292.00,2742.00,714.00
-1914.00,-1827.00,799.00
-4379.00,335.00,182.00
-3764.00,-613.00,235.00
-3523.00,-816.00,379.00
-4040.00,-515.00,419.00
1362.00,2196.00,466.00
-3643.00,-6.00,126.00
753.00,2724.00,642.00
-422.00,2790.00,774.00
-500.00,2412.00,386.00
-1891.00,1837.00,655.00
-669.00,2421.00,397.00
-1839.00,1992.00,820.00
-2055.00,1922.00,647.00
-3867.00,513.00,268.00
-4516.00,429.00,195.00
-920.00,1262.00,567.00
-877.00,-1580.00,983.00
1757.00,-472.00,973.00
1041.00,1289.00,398.00
-1569.00,-1192.00,214.00
2244.00,1431.00,220.00
-408.00,1564.00,649.00
-2745.00,810.00,442.00
572.00,1064.00,126.00
626.00,634.00,215.00
689.00,1096.00,306.00
-996.00,-1430.00,307.00
3177.00,1269.00,131.00
-3805.00,1676.00,295.00
1181.00,1730.00,144.00
-1152.00,123.00,449.00
-1722.00,325.00,339.00
-2638.00,-452.00,543.00
-2676.00,790.00,448.00
-1358.00,-1556.00,583.00
-561.00,1101.00,244.00
2297.00,971.00,163.00
978.00,897.00,274.00
-522.00,425.00,-133.00
-534.00,239.00,678.00
-1443.00,2322.00,459.00
-1827.00,-461.00,283.00
-1908.00,1295.00,329.00
-1846.00,3253.00,198.00
-3023.00,330.00,211.00
-105.00,3208.00,729.00
-3946.00,1446.00,129.00
-5667.00,425.00,116.00
-678.00,3195.00,798.00
-1761.00,-556.00,128.00
1948.00,81.00,352.00
-2107.00,-418.00,669.00
1286.00,-886.00,-116.00
1652.00,1378.00,257.00
-4259.00,116.00,188.00
-109.00,925.00,696.00
396.00,-485.00,319.00
-5319.00,1184.00,423.00
1289.00,522.00,297.00
422.00,245.00,663.00
-3892.00,-1524.00,137.00
-1812.00,-194.00,560.00
-1289.00,-96.00,417.00
-1870.00,-397.00,725.00
-2271.00,-490.00,652.00
-1019.00,200.00,689.00
-410.00,-16.00,611.00
-2014.00,3167.00,469.00
-2205.00,2817.00,841.00
-4141.00,-597.00,174.00
-834.00,1429.00,469.00
-2108.00,1078.00,249.00
1535.00,3253.00,928.00
-4657.00,1327.00,420.00
-2983.00,2577.00,303.00
-3884.00,1588.00,274.00
-23.00,157.00,287.00
-903.00,1172.00,390.00
-930.00,318.00,145.00
-640.00,-73.00,640.00
-1777.00,1194.00,413.00
-4153.00,7.00,129.00
-2713.00,-881.00,447.00
1601.00,3219.00,769.00
-2098.00,-809.00,574.00
418.00,722.00,363.00
160.00,-178.00,245.00
2374.00,3527.00,865.00
715.00,1167.00,272.00
781.00,858.00,328.00
2328.00,392.00,434.00
1286.00,2788.00,474.00
-1611.00,758.00,756.00
1541.00,2302.00,646.00
-2878.00,-1027.00,240.00
2273.00,1370.00,278.00
-9.00,2624.00,692.00
-6300.00,800.00,250.00
-2327.00,2234.00,852.00
-1295.00,-1756.00,820.00
-1604.00,952.00,644.00
-1233.00,870.00,638.00
-265.00,1020.00,568.00
-490.00,162.00,681.00
985.00,2903.00,350.00
2107.00,-178.00,459.00
437.00,-1351.00,262.00
-1745.00,645.00,447.00
-90.00,-12.00,445.00
757.00,-1382.00,304.00
