map,x,y,z
Observatory,-1835,-204,325
Observatory,-2352,-413,131
Observatory,-1330,93,554
Observatory,2649,541,128
Observatory,461,613,142
Observatory,1153,69,161
Observatory,1041,-88,469
Observatory,-1581,-2468,350
Observatory,1608,6,484
Observatory,1354,-90,127
Observatory,-271,572,228
Observatory,625,-13,749
Observatory,730,2406,249
Observatory,2063,1507,126
Observatory,1134,2507,220
Observatory,-633,3297,154
Observatory,3176,587,97
Observatory,900,1431,975
Observatory,-748,1202,610
Observatory,-797,3109,1146
Observatory,499,2236,760
Observatory,-6033,-488,127
Observatory,-369,464,154
Observatory,274,697,331
Observatory,-864,1830,301
Observatory,-482,1252,461
Observatory,-833,2285,1712
Observatory,-2705,460,231
Observatory,3053,2070,-26
Observatory,3313,708,51
Observatory,-3144,-1036,-102
Observatory,-4224,2325,471
Observatory,-5346,315,301
Observatory,-4686,2908,220
Observatory,-4363,2823,257
Observatory,-5030,2289,215
Observatory,-5082,1315,466
Observatory,15,569,735
Observatory,874,139,218
Observatory,-193,-149,643
Observatory,157,-238,676
Observatory,132,-220,567
Observatory,-3309,764,183
Observatory,-528,415,529
Observatory,-494,1863,169
Observatory,5859,1657,-69
Observatory,4916,2373,341
Observatory,4318,1671,137
Observatory,-2063,-1903,192
Observatory,-2664,-1874,368
Observatory,-2145,-2055,214
Observatory,-673,-399,272
Observatory,-184,-374,252
Observatory,1274,384,129
Observatory,-1424,-2267,142
Observatory,1866,1358,140
Observatory,-526,-920,288
Observatory,-680,-1122,187
Observatory,-704,952,581
Observatory,-250,3212,1093
Observatory,-731,3446,300
Observatory,-3100,493,144
Observatory,-1118,-340,483
Observatory,38,464,398
Observatory,239,-248,622
Observatory,952,282,303
Observatory,-568,1285,249
Observatory,1972,86,241
Observatory,406,2218,392
Observatory,-7271,600,250
Observatory,-490,703,426
Observatory,1447,27,421
Observatory,687,2450,173
Observatory,1075,2559,45
Observatory,-348,1401,501
Observatory,-20,1951,314
Observatory,-381,1326,787
Observatory,-1023,1944,112
Observatory,-772,511,732
Observatory,-661,842,624
Observatory,-1055,1459,575
